CAdF vs AED — Todos Atletas — Promedios
Partidos,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
2025-2026 Season,1,0,2,2,22,11,7,31.8%,20,0,6,11,0,0,2,0,5,3,0,48:15,58.9%,92,10,0,46,"4,2",24:08,02:12,0,312,259,53,83%,0,41,30,11,"4,8",10,0,55,47,8,85%,0,151,127,24,84%,0,106,85,21,80%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Por Parte,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
1º mitad,1,0,0,0,7,0,3,42.9%,12,0,1,5,0,0,0,1,2,0,0,27:00,61.8%,39,3,0,0,"5,6",-,03:51,0,190,169,21,89%,0,26,16,10,"5,4",10,0,32,30,2,94%,0,98,85,13,87%,0,60,54,6,90%
2º mitad,1,0,2,2,15,"7,5",4,26.7%,8,0,5,6,0,0,2,0,3,3,0,21:14,55.6%,53,7,0,"26,5","3,5",10:37,01:25,0,122,90,32,74%,0,15,14,1,"3,7",6,0,23,17,6,74%,0,53,42,11,79%,0,46,31,15,67%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Por Minutos,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
0-15,1,0,0,0,1,0,0,0.0%,2,0,0,1,0,0,0,1,0,0,0,07:55,51.4%,13,2,0,0,13,-,07:55,0,66,57,9,86%,0,10,7,3,"5,3",10,0,8,7,1,88%,0,33,28,5,85%,0,25,22,3,88%
16-30,1,0,0,0,3,0,1,33.3%,4,0,0,2,0,0,0,1,1,0,0,07:43,70.6%,9,0,0,0,3,-,02:34,0,64,59,5,92%,0,7,2,5,"6,7",9,0,11,11,0,100%,0,33,30,3,91%,0,20,18,2,90%
31-45,1,0,0,0,2,0,2,100.0%,5,0,1,1,0,0,0,1,1,0,0,09:57,68.2%,16,1,0,0,8,-,04:59,0,49,44,5,90%,0,7,5,2,"4,6",7,0,9,8,1,89%,0,27,24,3,89%,0,13,12,1,92%
45+,1,0,0,0,1,0,0,0.0%,1,0,0,1,0,0,0,1,0,0,0,01:25,51.5%,4,0,0,0,4,-,01:25,0,11,9,2,82%,0,2,2,0,4,4,0,4,4,0,100%,0,5,3,2,60%,0,2,2,0,100%
46-60,1,0,0,0,1,0,0,0.0%,1,0,1,1,0,0,1,0,1,0,0,05:46,51.4%,14,2,0,0,14,-,05:46,0,48,35,13,73%,0,7,6,1,"3,9",6,0,7,4,3,57%,0,23,18,5,78%,0,18,13,5,72%
61-75,1,0,0,0,7,0,2,28.6%,2,0,2,2,0,0,0,1,2,2,0,05:49,54.5%,14,2,0,0,2,-,00:50,0,31,23,8,74%,0,4,4,0,"3,5",5,0,7,5,2,71%,0,12,9,3,75%,0,12,9,3,75%
76-90,1,0,1,1,5,5,1,20.0%,3,0,1,1,0,0,1,0,0,1,0,06:36,59.8%,18,2,0,18,"3,6",06:36,01:19,0,33,26,7,79%,0,4,4,0,"3,5",4,0,5,5,0,100%,0,16,14,2,88%,0,12,7,5,58%
90+,1,0,1,1,2,2,1,50.0%,2,0,1,2,0,0,0,1,0,0,0,03:04,57.9%,9,1,0,9,"4,5",03:04,01:32,0,10,6,4,60%,0,0,0,0,0,0,0,4,3,1,75%,0,2,1,1,50%,0,4,2,2,50%
