CAdF vs CSE — Todos Atletas — Promedios
Partidos,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
2025-2026 Season,1,0,3,2,21,7,11,52.4%,7,0,5,9,0,0,0,1,4,2,0,44:49,55.1%,84,22,0,28,4,14:56,02:08,0,401,324,77,81%,0,82,42,40,"6,5",18,0,49,38,11,78%,0,265,220,45,83%,0,87,66,21,76%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Por Parte,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
1º mitad,1,0,0,0,9,0,4,44.4%,5,0,3,4,0,0,0,1,1,0,0,26:53,59.9%,48,13,0,0,"5,3",-,02:59,0,272,226,46,83%,0,58,28,30,"6,9",18,0,35,28,7,80%,0,193,161,32,83%,0,44,37,7,84%
2º mitad,1,0,3,2,12,4,7,58.3%,2,0,2,5,0,0,0,1,3,2,0,17:56,49.1%,36,9,0,12,3,05:59,01:30,0,129,98,31,76%,0,24,14,10,"5,5",10,0,14,10,4,71%,0,72,59,13,82%,0,43,29,14,67%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Por Minutos,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
0-15,1,0,0,0,4,0,1,25.0%,1,0,1,1,0,0,0,1,0,0,0,09:04,72.1%,15,2,0,0,"3,8",-,02:16,0,93,78,15,84%,0,20,12,8,"6,8",15,0,15,13,2,87%,0,62,52,10,84%,0,16,13,3,81%
16-30,1,0,0,0,3,0,1,33.3%,1,0,2,2,0,0,0,1,1,0,0,08:35,54.3%,15,4,0,0,5,-,02:52,0,82,67,15,82%,0,14,6,8,"8,6",18,0,7,4,3,57%,0,65,55,10,85%,0,10,8,2,80%
31-45,1,0,0,0,1,0,1,100.0%,3,0,0,1,0,0,0,1,0,0,0,08:10,56.3%,16,6,0,0,16,-,08:10,0,90,74,16,82%,0,22,8,14,"6,2",11,0,12,10,2,83%,0,62,50,12,81%,0,16,14,2,88%
45+,1,0,0,0,1,0,1,100.0%,0,0,0,0,0,0,0,1,0,0,0,01:04,54.7%,3,1,0,0,3,-,01:04,0,7,7,0,100%,0,2,2,0,4,4,0,1,1,0,100%,0,4,4,0,100%,0,2,2,0,100%
46-60,1,0,1,1,6,6,4,66.7%,1,0,2,1,0,0,0,1,1,0,0,06:29,57.5%,11,1,0,11,"1,8",06:29,01:05,0,47,38,9,81%,0,10,4,6,"6,6",10,0,6,4,2,67%,0,33,29,4,88%,0,8,5,3,63%
61-75,1,0,1,0,4,4,2,50.0%,1,0,0,2,0,0,0,1,0,2,0,06:45,55.0%,14,2,0,14,"3,5",06:45,01:41,0,46,34,12,74%,0,8,6,2,"4,5",7,0,7,5,2,71%,0,27,21,6,78%,0,12,8,4,67%
76-90,1,0,1,1,2,2,1,50.0%,0,0,0,1,0,0,0,1,2,0,0,04:24,34.7%,11,6,0,11,"5,5",04:24,02:12,0,36,26,10,72%,0,6,4,2,5,8,0,1,1,0,100%,0,12,9,3,75%,0,23,16,7,70%
90+,1,0,0,0,0,0,0,0.0%,0,0,0,1,0,0,0,1,0,0,0,00:17,100.0%,1,0,0,0,0,-,-,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%
