CAdF vs RFC — Todos Atletas — Promedios
Partidos,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
2025-2026 Season,1,0,2,1,11,"5,5",6,54.5%,6,0,4,11,0,0,0,1,1,0,0,40:10,43.7%,94,27,0,47,"8,5",20:05,03:39,0,308,225,83,73%,0,58,38,20,"5,5",16,0,45,33,12,73%,0,144,108,36,75%,0,119,84,35,71%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Por Parte,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
1º mitad,1,0,2,1,9,"4,5",5,55.6%,0,0,1,6,0,0,0,1,1,0,0,21:32,44.5%,48,15,0,24,"5,3",10:46,02:24,0,205,157,48,77%,0,44,26,18,6,16,0,29,23,6,79%,0,101,77,24,76%,0,75,57,18,76%
2º mitad,1,0,0,0,2,0,1,50.0%,6,0,3,5,0,0,0,1,0,0,0,18:38,42.8%,46,12,0,0,23,-,09:19,0,103,68,35,66%,0,14,12,2,"4,1",8,0,16,10,6,63%,0,43,31,12,72%,0,44,27,17,61%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Por Minutos,PJ,0,G,A,S,L/P,SOT,%LaP,CE,0,SE,F,PL,0,GE,Pa0,Paradas,TAP,0,MEJORES,P%,NºP,TAtc,0,P/G,P/S,TP/G,TP/L,0,CP,SJ,PI,%PC,0,CPT,3-5 CP,6+ CP,Prom CP,CPML,0,IP Atq,PC Atq,PI Atq,%PC Atq,0,IP Mitad,PC Mitad,PI Mitad,%PC Mitad,0,IP Defensa,PC Defensa,PI Defensa,%PC Defensa
0-15,1,0,1,1,3,3,1,33.3%,0,0,1,1,0,0,0,1,0,0,0,07:25,47.7%,14,5,0,14,"4,7",07:25,02:28,0,83,71,12,86%,0,16,4,12,"8,1",16,0,12,9,3,75%,0,42,36,6,86%,0,29,26,3,90%
16-30,1,0,0,0,3,0,2,66.7%,0,0,0,1,0,0,0,1,1,0,0,07:31,45.7%,19,7,0,0,"6,3",-,02:30,0,65,44,21,68%,0,18,16,2,"4,1",7,0,7,6,1,86%,0,26,15,11,58%,0,32,23,9,72%
31-45,1,0,0,0,2,0,1,50.0%,0,0,0,4,0,0,0,1,0,0,0,05:49,38.9%,16,3,0,0,8,-,02:55,0,49,35,14,71%,0,10,6,4,"5,8",11,0,9,7,2,78%,0,28,22,6,79%,0,12,6,6,50%
45+,1,0,1,0,1,1,1,100.0%,0,0,0,0,0,0,0,1,0,0,0,00:47,53.4%,2,0,0,2,2,00:47,00:47,0,8,7,1,88%,0,0,0,0,0,0,0,1,1,0,100%,0,5,4,1,80%,0,2,2,0,100%
46-60,1,0,0,0,1,0,0,0.0%,5,0,2,2,0,0,0,1,0,0,0,05:16,41.9%,14,4,0,0,14,-,05:16,0,27,21,6,78%,0,4,4,0,3,3,0,6,5,1,83%,0,8,6,2,75%,0,13,10,3,77%
61-75,1,0,0,0,1,0,1,100.0%,1,0,0,2,0,0,0,1,0,0,0,06:47,45.6%,14,6,0,0,14,-,06:47,0,50,35,15,70%,0,10,8,2,"4,6",8,0,6,5,1,83%,0,21,15,6,71%,0,23,15,8,65%
76-90,1,0,0,0,0,0,0,0.0%,0,0,1,0,0,0,0,1,0,0,0,04:57,38.9%,14,2,0,0,0,-,-,0,22,11,11,50%,0,0,0,0,0,0,0,3,0,3,0%,0,12,10,2,83%,0,7,1,6,14%
90+,1,0,0,0,0,0,0,0.0%,0,0,0,1,0,0,0,1,0,0,0,01:39,47.8%,5,0,0,0,0,-,-,0,4,1,3,25%,0,0,0,0,0,0,0,1,0,1,0%,0,2,0,2,0%,0,1,1,0,100%
